Time (ms),dTime (ms),Timestamp (ms),Timecode (ms),X resolution,Y resolution,frame type,frame-rate,aspect-ratio,codec
18:26:59.540,19.9,16512568170570387,16512568170570387,1920,1080,progressive,50.00,1.78,SpeedHQ Mode 2
18:26:59.560,20.0,16512568170770388,16512568170770388,1920,1080,progressive,50.00,1.78,SpeedHQ Mode 2
18:26:59.580,20.1,16512568170970375,16512568170970375,1920,1080,progressive,50.00,1.78,SpeedHQ Mode 2
18:26:59.600,20.7,16512568171170348,16512568171170348,1920,1080,progressive,50.00,1.78,SpeedHQ Mode 2
18:26:59.619,18.6,16512568171370381,16512568171370381,1920,1080,progressive,50.00,1.78,SpeedHQ Mode 2
18:26:59.640,20.9,16512568171570353,16512568171570353,1920,1080,progressive,50.00,1.78,SpeedHQ Mode 2
18:26:59.660,19.9,16512568171770343,16512568171770343,1920,1080,progressive,50.00,1.78,SpeedHQ Mode 2
18:26:59.681,21.1,16512568171970348,16512568171970348,1920,1080,progressive,50.00,1.78,SpeedHQ Mode 2
18:26:59.700,19.5,16512568172170319,16512568172170319,1920,1080,progressive,50.00,1.78,SpeedHQ Mode 2
18:26:59.719,19.0,16512568172370348,16512568172370348,1920,1080,progressive,50.00,1.78,SpeedHQ Mode 2
18:26:59.740,20.2,16512568172570321,16512568172570321,1920,1080,progressive,50.00,1.78,SpeedHQ Mode 2
18:26:59.760,20.5,16512568172770302,16512568172770302,1920,1080,progressive,50.00,1.78,SpeedHQ Mode 2
18:26:59.780,19.7,16512568172970337,16512568172970337,1920,1080,progressive,50.00,1.78,SpeedHQ Mode 2
18:26:59.800,20.3,16512568173170312,16512568173170312,1920,1080,progressive,50.00,1.78,SpeedHQ Mode 2
18:26:59.819,18.9,16512568173370302,16512568173370302,1920,1080,progressive,50.00,1.78,SpeedHQ Mode 2
18:26:59.840,21.4,16512568173570296,16512568173570296,1920,1080,progressive,50.00,1.78,SpeedHQ Mode 2
18:26:59.859,19.1,16512568173770314,16512568173770314,1920,1080,progressive,50.00,1.78,SpeedHQ Mode 2
18:26:59.880,20.5,16512568173970302,16512568173970302,1920,1080,progressive,50.00,1.78,SpeedHQ Mode 2
18:26:59.900,19.7,16512568174170274,16512568174170274,1920,1080,progressive,50.00,1.78,SpeedHQ Mode 2
18:26:59.920,20.0,16512568174370279,16512568174370279,1920,1080,progressive,50.00,1.78,SpeedHQ Mode 2
18:26:59.940,20.5,16512568174570277,16512568174570277,1920,1080,progressive,50.00,1.78,SpeedHQ Mode 2
18:26:59.960,19.5,16512568174770266,16512568174770266,1920,1080,progressive,50.00,1.78,SpeedHQ Mode 2
18:26:59.980,20.1,16512568174970273,16512568174970273,1920,1080,progressive,50.00,1.78,SpeedHQ Mode 2
